trial,launch_speed,start_angle_deg,start_sector_index,winner_index,winner,color,pocket_offset,free_revolutions,settle_seconds,timed_out
319,12.412637,290.023007,29,24,20,black,32,2.758572,15.795833,0
320,11.874928,58.393094,6,36,26,black,30,2.719900,14.241667,0
321,12.120561,45.852213,4,1,32,red,34,2.755846,14.633333,0
322,11.529447,64.101021,6,4,4,black,35,2.901430,14.570833,0
323,11.849158,225.077240,23,20,24,black,34,2.877450,15.250000,0
324,11.573965,196.719914,20,17,23,red,34,2.913602,14.258333,0
325,12.324404,295.247249,30,25,14,red,32,2.747724,15.087500,0
326,11.809447,17.017718,1,31,7,red,30,2.692819,14.712500,0
327,11.905824,115.627637,11,6,2,black,32,2.734587,14.883333,0
328,12.471084,83.174124,8,5,21,red,34,2.793102,15.104167,0
329,11.554072,176.072872,18,17,23,red,36,2.942817,15.075000,0
330,12.321255,241.115185,24,20,24,black,33,2.783780,14.500000,0
331,11.674362,275.188992,28,28,22,black,0,2.987460,14.795833,0
332,11.721779,170.063961,17,13,36,red,33,2.871411,14.025000,0
333,12.235052,339.502525,34,29,18,red,32,2.759664,14.070833,0
334,11.630574,121.181067,12,12,13,black,0,2.958250,14.762500,0
335,11.647996,169.977767,17,18,10,black,1,2.981526,15.558333,0
336,11.808221,18.174916,1,31,7,red,30,2.702699,16.525000,0
337,12.082185,21.894747,2,32,28,black,30,2.720407,15.750000,0
338,12.103037,125.652514,12,6,2,black,31,2.750787,13.795833,0
339,11.592946,349.156482,35,1,32,red,3,3.022937,15.745833,0
340,11.703274,343.172130,35,36,26,black,1,3.013965,15.004167,0
341,11.732803,356.627291,36,1,32,red,2,3.020408,15.300000,0
342,11.889927,149.470880,15,8,17,black,30,2.716281,15.666667,0
343,12.393640,167.776293,17,13,36,red,33,2.781963,14.866667,0
344,11.589335,125.031548,12,11,27,red,36,2.909124,14.766667,0
345,11.864674,292.462483,30,24,20,black,31,2.714615,14.633333,0
346,12.475301,290.474609,29,25,14,red,33,2.782217,16.358333,0
347,12.107744,129.772784,13,7,25,red,31,2.743376,15.870833,0
348,12.077972,223.192119,22,17,23,red,32,2.738060,14.729167,0
349,11.569375,171.706479,17,15,30,red,35,2.902581,14.329167,0
350,11.729722,93.792601,9,7,25,red,35,2.896310,14.675000,0
351,11.704582,312.584195,32,31,7,red,36,2.933929,15.362500,0
352,11.599382,251.329399,25,16,8,black,28,2.653618,13.704167,0
353,12.281236,32.722069,3,6,2,black,3,3.031478,15.825000,0
354,11.964313,203.651545,20,14,11,black,31,2.723072,14.333333,0
355,11.758237,277.256989,28,30,29,black,2,3.030962,15.075000,0
356,11.517943,284.137733,29,32,28,black,3,3.057363,15.554167,0
357,11.727460,287.674008,29,27,9,red,35,2.922020,14.454167,0
358,11.595036,253.591034,26,23,1,red,34,2.907427,14.479167,0
359,11.969719,229.116287,23,18,10,black,32,2.728435,14.183333,0
360,11.860851,330.161394,33,28,22,black,32,2.719512,14.241667,0
361,12.485225,257.674397,26,23,1,red,34,2.781091,15.162500,0
362,12.020660,292.534456,30,23,1,red,30,2.728721,14.595833,0
363,12.407817,31.339195,3,8,17,black,5,3.112183,15.391667,0
364,12.257097,208.016479,21,24,20,black,3,3.061768,15.804167,0
365,11.988245,314.347867,32,29,18,red,34,2.804170,14.995833,0
366,12.024169,165.165460,16,10,6,black,31,2.729437,16.416667,0
367,12.361708,154.646677,15,11,27,red,33,2.781742,15.395833,0
368,12.336824,286.935874,29,24,20,black,32,2.766713,15.937500,0
369,11.880438,325.768717,33,28,22,black,32,2.723592,14.637500,0
370,11.763719,213.180522,21,23,1,red,2,2.993348,16.150000,0
371,11.642662,215.447223,22,14,11,black,29,2.697049,13.891667,0
372,12.359436,249.087694,25,20,24,black,32,2.759164,14.408333,0
373,11.773719,147.685502,15,9,34,red,31,2.706716,14.375000,0
374,11.994957,59.211040,6,4,4,black,35,2.910689,14.687500,0
375,11.731475,100.426340,10,4,4,black,31,2.712089,14.120833,0
376,11.647438,111.625479,11,5,21,red,31,2.725818,14.695833,0
377,11.500351,209.882549,21,18,10,black,34,2.875285,14.250000,0
378,12.233470,162.674533,16,17,23,red,1,2.977375,14.841667,0
379,11.884131,176.338653,18,14,11,black,33,2.864535,14.633333,0
380,12.257462,45.060322,4,36,26,black,32,2.761474,15.891667,0
381,11.552899,206.947649,21,11,27,red,27,2.664148,13.858333,0
382,12.153136,104.756806,10,8,17,black,35,2.822385,14.270833,0
383,12.455953,107.657473,11,9,34,red,35,2.908719,14.716667,0
384,12.039222,266.027090,27,28,22,black,1,2.985771,15.400000,0
385,11.965983,77.119412,7,1,32,red,31,2.723390,14.270833,0
386,12.207285,255.854682,26,20,24,black,31,2.747754,16.375000,0
387,12.459048,35.171414,3,36,26,black,33,2.789209,16.104167,0
388,11.926600,10.276914,1,1,32,red,0,2.971818,14.845833,0
389,11.688385,203.840103,20,15,30,red,32,2.757869,14.295833,0
390,11.651059,159.917669,16,14,11,black,35,2.935024,14.395833,0
391,12.347834,268.170866,27,22,33,black,32,2.763064,15.262500,0
392,11.827064,295.195437,30,29,18,red,36,2.938412,14.504167,0
393,12.249985,184.314148,18,13,36,red,32,2.754366,14.979167,0
394,11.537369,166.031527,17,18,10,black,1,3.011315,15.120833,0
395,11.521776,64.060308,6,4,4,black,35,2.900383,14.616667,0
396,12.274382,354.660820,36,2,15,black,3,3.064671,14.908333,0
